vocab_size not found in data/openwebtext/meta.pkl, using GPT-2 default of 50257
Initializing a new model from scratch
number of parameters: 50.96M
step 0: train loss 10.9687, val loss 10.9745
iter 0: loss 12.4264, time 5918.26ms
iter 10: loss 12.4834, time 125.37ms
iter 20: loss 12.4455, time 125.16ms
iter 30: loss 12.5036, time 124.95ms
iter 40: loss 12.4247, time 124.89ms
iter 50: loss 12.4632, time 124.98ms
iter 60: loss 12.2482, time 125.02ms
iter 70: loss 12.4012, time 125.19ms
iter 80: loss 12.3714, time 127.92ms
iter 90: loss 12.4468, time 125.51ms
iter 100: loss 12.4471, time 126.45ms
iter 110: loss 12.3934, time 126.22ms
iter 120: loss 12.4024, time 124.81ms
iter 130: loss 12.3185, time 125.54ms
iter 140: loss 12.3583, time 125.65ms
iter 150: loss 12.5399, time 125.68ms
iter 160: loss 12.4251, time 124.73ms
iter 170: loss 12.4769, time 125.34ms
iter 180: loss 12.3567, time 125.75ms
iter 190: loss 12.3578, time 128.29ms
iter 200: loss 12.3845, time 125.31ms
iter 210: loss 12.4546, time 125.89ms
iter 220: loss 12.3898, time 126.20ms
iter 230: loss 12.3402, time 125.85ms
iter 240: loss 12.4136, time 125.87ms
step 250: train loss 10.9394, val loss 10.9391
saving checkpoint to out-shakespeare-char
iter 250: loss 12.4442, time 2920.84ms
iter 260: loss 12.4056, time 125.19ms
iter 270: loss 12.3959, time 125.59ms
iter 280: loss 12.2712, time 125.98ms
iter 290: loss 12.3636, time 125.41ms
iter 300: loss 12.4626, time 128.26ms
iter 310: loss 12.3655, time 125.04ms
iter 320: loss 12.3617, time 125.45ms
iter 330: loss 12.4248, time 125.48ms
iter 340: loss 12.3736, time 125.15ms
iter 350: loss 12.3409, time 125.81ms
iter 360: loss 12.3949, time 125.49ms
iter 370: loss 12.4899, time 125.34ms
iter 380: loss 12.3253, time 125.32ms
iter 390: loss 12.3107, time 125.68ms
iter 400: loss 12.4006, time 126.00ms
iter 410: loss 12.4104, time 128.73ms
iter 420: loss 12.2700, time 125.85ms
iter 430: loss 12.3569, time 125.76ms
iter 440: loss 12.3952, time 126.30ms
iter 450: loss 12.4085, time 125.79ms
iter 460: loss 12.4200, time 125.66ms
iter 470: loss 12.4086, time 125.58ms
iter 480: loss 12.2611, time 129.11ms
iter 490: loss 12.4260, time 126.23ms
step 500: train loss 10.8967, val loss 10.8967
saving checkpoint to out-shakespeare-char
iter 500: loss 12.3557, time 2918.89ms
iter 510: loss 12.3097, time 121.99ms
iter 520: loss 12.3478, time 122.50ms
iter 530: loss 12.2533, time 122.60ms
iter 540: loss 12.3010, time 123.17ms
iter 550: loss 12.3365, time 121.99ms
iter 560: loss 12.3572, time 124.89ms
iter 570: loss 12.3141, time 122.07ms
iter 580: loss 12.4365, time 122.30ms
iter 590: loss 12.2522, time 122.11ms
iter 600: loss 12.3074, time 123.11ms
iter 610: loss 12.4228, time 121.66ms
iter 620: loss 12.4247, time 123.21ms
iter 630: loss 12.3460, time 122.02ms
iter 640: loss 12.4190, time 122.97ms
iter 650: loss 12.3002, time 122.19ms
iter 660: loss 12.4012, time 122.15ms
iter 670: loss 12.2861, time 122.10ms
iter 680: loss 12.3095, time 123.03ms
iter 690: loss 12.3342, time 120.89ms
iter 700: loss 12.3138, time 123.32ms
iter 710: loss 12.3231, time 121.96ms
iter 720: loss 12.3056, time 123.30ms
iter 730: loss 12.3258, time 122.00ms
iter 740: loss 12.2809, time 123.25ms
step 750: train loss 10.8616, val loss 10.8587
saving checkpoint to out-shakespeare-char
iter 750: loss 12.2034, time 2939.88ms
iter 760: loss 12.3029, time 121.27ms
iter 770: loss 12.4756, time 124.80ms
iter 780: loss 12.3359, time 122.07ms
iter 790: loss 12.2638, time 125.07ms
iter 800: loss 12.3231, time 122.13ms
iter 810: loss 12.2850, time 125.16ms
iter 820: loss 12.2979, time 121.91ms
